Symbol,Name,Sector,description
PNR,Pentair Ltd.,Industrials,"Pentair plc is a multinational diversified industrial company incorporated in Ireland with tax residency in UK, with its main U.S. office located in Minneapolis, Minnesota."
PBCT,People's United Financial,Financials,"People's United Financial, Inc. is a bank holding company that owns Peoples United Bank. The bank operates 403 branches in Connecticut, southeastern New York State, Massachusetts, Vermont, Maine, and New Hampshire."
PEP,PepsiCo Inc.,Consumer Staples,"PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Purchase, New York. PepsiCo has interests in the manufacturing, marketing, and distribution of grain-based snack foods, beverages, and other products."
PKI,PerkinElmer,Health Care,"PerkinElmer, Inc., is an American multinational corporation focused in the business areas of human and environmental health, including: environmental analysis, food and consumer product safety, medical ..."
PRGO,Perrigo,Health Care,Perrigo Company plc is an American international manufacturer of private label over-the-counter pharmaceuticals.
PFE,Pfizer Inc.,Health Care,"Pfizer Inc. is an American pharmaceutical conglomerate headquartered in New York City, with its research headquarters in Groton, Connecticut.Pfizer is one of the world's largest pharmaceutical companies."
PCG,PG&E Corp.,Utilities,"Procter & Gamble Co. is an American multi-national consumer goods corporation headquartered in downtown Cincinnati, Ohio, founded in 1837 by British American William Procter and Irish American James Gamble."
PM,Philip Morris International,Consumer Staples,"Philip Morris International Inc. is an American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries outside the United States. The most recognized and best selling product of the company is Marlboro."
PSX,Phillips 66,Energy,"The Phillips 66 Company is an American multinational energy company headquartered in Westchase, Houston, Texas. It debuted as an independent energy company when ConocoPhillips executed a spin-off of its downstream and midstream assets."
PNW,Pinnacle West Capital,Utilities,NA
PXD,Pioneer Natural Resources,Energy,"Pioneer Natural Resources Company is an American petroleum, natural gas, and natural gas liquids exploration and production company organized in Delaware and headquartered in Irving, Texas."
PNC,PNC Financial Services,Financials,"PNC Financial Services Group, Inc. is a bank holding company and financial services corporation based in Pittsburgh. Its bank operates in 19 states and the District of Columbia with 2,459 branches and 9,051 ATMs."
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Ralph Lauren Corporation is an American corporation. They are known for the clothing, marketing and distribution of products in four categories: apparel, home, accessories, and fragrances."
PPG,PPG Industries,Materials,"PPG Industries, Inc. is an American Fortune 500 company and global supplier of paints, coatings, and specialty materials. With headquarters in Pittsburgh, Pennsylvania, PPG operates in more than 70 countries around the globe."
PPL,PPL Corp.,Utilities,"The PPL Corporation is an energy company headquartered in Allentown, Pennsylvania, USA. It currently controls about 8,000 megawatts of regulated electric generating capacity in the United States and ..."
PX,Praxair Inc.,Materials,"Praxair, Inc. is an American worldwide industrial gases company. It is the largest industrial gases company in North and South America, and the third-largest worldwide by revenue."
PFG,Principal Financial Group,Financials,"The Principal Financial Group is a global financial investment management and insurance company headquartered in Des Moines, Iowa."
PG,Procter & Gamble,Consumer Staples,"Procter & Gamble Co. is an American multi-national consumer goods corporation headquartered in downtown Cincinnati, Ohio, founded in 1837 by British American William Procter and Irish American James Gamble."
PGR,Progressive Corp.,Financials,"The Progressive Corporation is one of the largest providers of car insurance in the United States. The company also insures motorcycles, boats, RVs and commercial vehicles, and provides home insurance through select companies."
PLD,Prologis,Real Estate,NA
PRU,Prudential Financial,Financials,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail ..."
PEG,Public Serv. Enterprise Inc.,Utilities,NA
PSA,Public Storage,Real Estate,"Public Storage is an American international self storage company headquartered in Glendale, California, that is run as a real estate investment trust. It is the largest brand of self-storage services in the US."
PHM,Pulte Homes Inc.,Consumer Discretionary,"PulteGroup, Inc. is a home construction company based in Atlanta, Georgia, United States. In 2016, the company was the 3rd largest home construction company in the United States, based on the number of homes closed."
PVH,PVH Corp.,Consumer Discretionary,"PVH Corp, formerly known as the Phillips-Van Heusen Corporation, is an American clothing company which owns brands such as Van Heusen, Tommy Hilfiger, Calvin Klein, IZOD, Arrow, and licenses brands such ..."
QRVO,Qorvo,Information Technology,"Qorvo is an American semiconductor company that designs, manufactures, and supplies radio-frequency systems and solutions for applications that drive wireless and broadband communications, as well as foundry services."
QCOM,QUALCOMM Inc.,Information Technology,Qualcomm is an American multinational semiconductor and telecommunications equipment company that designs and markets wireless telecommunications products and services.
PWR,Quanta Services Inc.,Industrials,"Quanta Services is a U.S. corporation that provides engineering, procurement and construction services for electric power infrastructure and oil and gas infrastructure industries, and formerly for telecommunications and broadband cable."
DGX,Quest Diagnostics,Health Care,"Quest Diagnostics Incorporated is an American clinical laboratory with headquarters in Madison, New Jersey. Founded in 1967 as Metropolitan Pathology Laboratory, Inc., it became an independent corporation with the Quest name on December 31, 1996."
RRC,Range Resources Corp.,Energy,"Range Resources Corporation is a petroleum and natural gas exploration and production company organized in Delaware and headquartered in Fort Worth, Texas. It is one of the largest exploration companies operating in the Marcellus Formation."
RJF,Raymond James Financial Inc.,Financials,NA
RTN,Raytheon Co.,Industrials,The Raytheon Company is a major U.S. defense contractor and industrial corporation with core manufacturing concentrations in weapons and military and commercial electronics.
O,Realty Income Corporation,Real Estate,"Realty Income Corporation is a real estate investment trust that invests in shopping centers in the United States and Puerto Rico that are subject to NNN Leases. The company is organized in Maryland with its headquarters in San Diego, California."
RHT,Red Hat Inc.,Information Technology,"Red Hat, Inc. is an American multinational software company providing open-source software products to the enterprise community. Founded in 1993, Red Hat has its corporate headquarters in Raleigh, North Carolina, with satellite offices worldwide."
REG,Regency Centers Corporation,Real Estate,"Regency Centers Corporation is a real estate investment trust based in Jacksonville, Florida and is one of the largest operators of grocery-anchored shopping centers."
REGN,Regeneron,Health Care,"Regeneron Pharmaceuticals, Inc. is a biotechnology company headquartered in Eastview, near Tarrytown, New York. The company was founded in 1988."
RF,Regions Financial Corp.,Financials,"Regions Financial Corporation is a bank and financial services company headquartered in the Regions Center in Birmingham, Alabama."
RSG,Republic Services Inc,Industrials,"Republic Services, Inc is the second largest provider of non-hazardous solid waste collection, transfer, disposal, recycling, and energy services in the United States, as measured by revenue."
RMD,ResMed,Health Care,"ResMed is a San Diego, California-based medical equipment company. It deals primarily in equipment related to the treatment of sleep-related breathing disorders, including sleep apnea, chronic obstructive ..."
RHI,Robert Half International,Industrials,"Robert Half, most recently, Robert Half International, is an American human resource consulting firm based in Menlo Park, California."
ROK,Rockwell Automation Inc.,Industrials,"Rockwell Automation, Inc., is an American provider of industrial automation and information products. Brands include Allen-Bradley and Rockwell Software."
COL,Rockwell Collins,Industrials,"Rockwell Collins, Inc. is an American multinational company headquartered in Cedar Rapids, Iowa providing avionics and information technology systems and services to governmental agencies and aircraft manufacturers."
ROP,Roper Technologies,Industrials,"Roper Technologies, Inc. is an American diversified industrial company that produces engineered products for global niche markets. The company is headquartered in Sarasota, Florida."
ROST,Ross Stores,Consumer Discretionary,"Ross is an American chain of ""off-price"" department stores headquartered in Dublin, California, officially operating under the brandname, Ross Dress for Less. It is the largest off-priced retailer in the U.S."
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Royal Caribbean International is a cruise line brand founded in Norway and based in Miami, Florida, United States. It is owned by Royal Caribbean Cruises Ltd."
SPGI,"S&P Global, Inc.",Financials,Sprint Corporation is a United States telecommunications company that provides wireless services and is an internet service provider.
CRM,Salesforce.com,Information Technology,"Salesforce.com, Inc. is an American cloud computing company headquartered in San Francisco, California."
SBAC,SBA Communications,Real Estate,"SBA Communications Corporation owns and operates wireless infrastructure, including small cells, indoor/outdoor distributed antenna systems, and traditional cell sites that support antennas used for ..."
SCG,SCANA Corp,Utilities,"SCANA Corporation is a $5 billion energy-based holding company, based in Cayce, South Carolina, a suburb of Columbia. Its businesses include regulated electric and natural gas utility operations and other energy-related businesses."
SLB,Schlumberger Ltd.,Energy,"Schlumberger Limited is the world's largest oilfield services company. Schlumberger employs approximately 100,000 people representing more than 140 nationalities working in more than 85 countries."
STX,Seagate Technology,Information Technology,"Seagate Technology PLC is an American data storage company. It was incorporated in 1978, as Shugart Technology. Since 2010, the company is incorporated in Dublin, Ireland, with operational headquarters in Cupertino, California, United States."
SEE,Sealed Air,Materials,Sealed Air Corporation is a packaging company known for its brands: Cryovac food packaging and Bubble Wrap cushioning packaging. Sealed Air Corporation has two divisions: Food Care & Product Care. It sold off its stake in Diversey Care in 2017.
SRE,Sempra Energy,Utilities,"Sempra Energy is an American natural gas utilities holding company based in San Diego, California. It divides its interests into two broad categories: California utilities, including Southern California ..."
SHW,Sherwin-Williams,Materials,The Sherwin-Williams Company is an American Fortune 500 company in the general building materials industry.
SPG,Simon Property Group Inc,Real Estate,"Simon Property Group, Inc. is an American commercial real estate company, the largest real estate investment trust, and the largest shopping mall operator in the US."
SWKS,Skyworks Solutions,Information Technology,"Skyworks Solutions, Inc. is an American semiconductor company headquartered in Woburn, Massachusetts, United States.Skyworks manufactures semiconductors for use in radio frequency and mobile communications systems."
SLG,SL Green Realty,Real Estate,SL Green Realty Corp. is a real estate investment trust that primarily invests in office buildings and shopping centers in New York City.
SNA,Snap-On Inc.,Consumer Discretionary,"Snap-on Incorporated is a designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries."
SO,Southern Co.,Utilities,"Southern Company is an American gas and electric utility holding company based in the southern United States. It is headquartered in Atlanta, Georgia, with executive offices also located in Birmingham, Alabama."
LUV,Southwest Airlines,Industrials,"Southwest Airlines Co. is a major U.S. airline headquartered in Dallas, Texas, and North Americas largest low-cost carrier."
SWK,Stanley Black & Decker,Consumer Discretionary,"Stanley Black is an American real estate investor and philanthropist from Beverly Hills, California. He is the Founder and Chairman of the Black Equities Group."
SBUX,Starbucks Corp.,Consumer Discretionary,"Starbucks Corporation is an American coffee company and coffeehouse chain. Starbucks was founded in Seattle, Washington in 1971. As of 2017, the company operates 26,696 locations worldwide."
STT,State Street Corp.,Financials,State Street Corporation is a financial services and bank holding company headquartered at One Lincoln Street in Boston with operations worldwide.
SRCL,Stericycle Inc,Industrials,"Stericycle is a compliance company that specializes in collecting and disposing regulated substances, such as medical waste and sharps, pharmaceuticals, hazardous waste, and providing services for recalled and expired goods."
SYK,Stryker Corp.,Health Care,"Stryker Corporation is a Fortune 500 medical technologies firm based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and ..."
STI,SunTrust Banks,Financials,"SunTrust Banks, Inc., is an American bank holding company. The largest subsidiary is SunTrust Bank. It had US$199 billion in assets as of March 31, 2018."
SIVB,SVB Financial,Financials,"Silicon Valley Bank, a subsidiary of SVB Financial Group, is a U.S.-based high-tech commercial bank. The bank has helped fund more than 30,000 start-ups. SVB is on the list of largest banks in the United States."
SYMC,Symantec Corp.,Information Technology,"Symantec Corporation is an American software company headquartered in Mountain View, California, United States. The company provides cybersecurity software and services."
SYF,Synchrony Financial,Financials,"Synchrony Financial is a consumer financial services company headquartered in Stamford, Connecticut, United States."
SNPS,Synopsys Inc.,Information Technology,"Synopsys, Inc., an American company, is the leading company by sales in the Electronic Design Automation industry. Synopsys' first and best-known product is Design Compiler, a logic-synthesis tool."
SYY,Sysco Corp.,Consumer Staples,"Sysco Corporation is an American multinational corporation involved in marketing and distributing food products to restaurants, healthcare and educational facilities, hotels and inns, and other foodservice and hospitality businesses."
TROW,T. Rowe Price Group,Financials,"T. Rowe Price Group, Inc. is an American publicly owned global asset management firm that offers funds, advisory services, account management, and retirement plans and services for individuals, institutions, and financial intermediaries."
TTWO,Take-Two Interactive,Information Technology,"Take-Two Interactive Software, Inc. is an American video game holding company based in New York City."
TPR,"Tapestry, Inc.",Consumer Discretionary,"Tapestry, Inc. is an American multinational luxury fashion company based in New York City. Tapestry, Inc. owns three major brands: Coach New York, Kate Spade New York, and Stuart Weitzman."
TGT,Target Corp.,Consumer Discretionary,"Target Corporation is the second-largest discount store retailer in the United States, behind Walmart, and a component of the S&P 500 Index."
TEL,TE Connectivity Ltd.,Information Technology,"TE Connectivity is a technology company that designs and manufactures connectivity and sensor products for harsh environments in a variety of industries, such as automotive, industrial equipment, data ..."
FTI,TechnipFMC,Energy,TechnipFMC plc is a UK-based company that provides complete project life cycle services for the energy industry. TechnipFMC was ranked 23rd among world's Top 225 International Design Firms in the year 2017 by Engineering News-Record.
TXN,Texas Instruments,Information Technology,"Texas Instruments Inc. is an American technology company that designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally."
TXT,Textron Inc.,Industrials,"Textron is an American global aerospace, defense, security and advanced technologies industrial conglomerate. Textron includes Bell Helicopter, Cessna Aircraft, Beechcraft, and other components."
BK,The Bank of New York Mellon Corp.,Financials,"The Bank of New York Mellon Corporation, which does business as BNY Mellon, is an American worldwide banking and financial services holding company headquartered in New York City."
CLX,The Clorox Company,Consumer Staples,"The Clorox Company, based in Oakland, California, is an American worldwide manufacturer and marketer of consumer and professional products with approximately 8,100 employees worldwide as of June 30, 2017."
COO,The Cooper Companies,Health Care,"The Cooper Companies, Inc. is an American company in the medical specialities sector. With its headquarters in Pleasanton, California, it has over 8,000 employees and consists of two subsidiaries, ..."
HSY,The Hershey Company,Consumer Staples,"The Hershey Company, known until April 2005 as the Hershey Foods Corporation and commonly called Hershey's, is an American company and one of the largest chocolate manufacturers in the world."
MOS,The Mosaic Company,Materials,"The Mosaic Company is a Fortune 500 company based in Plymouth, Minnesota which mines phosphate and potash, and is the largest U.S. producer of potash and phosphate fertilizer."
TRV,The Travelers Companies Inc.,Financials,"The Travelers Companies, Inc. is an American insurance company. It is the second largest writer of U.S. commercial property casualty insurance and the third largest writer of U.S. personal insurance through independent agents."
DIS,The Walt Disney Company,Consumer Discretionary,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate, headquartered at the Walt Disney Studios in Burbank, California."
TMO,Thermo Fisher Scientific,Health Care,"Thermo Fisher Scientific is an American multinational biotechnology product development company, created in 2006 by the merger of Thermo Electron and Fisher Scientific."
TIF,Tiffany & Co.,Consumer Discretionary,"Tiffany & Company is an American luxury jewelry and specialty retailer, headquartered in New York City."
TWX,Time Warner Inc.,Consumer Discretionary,"Time Warner, Inc. is an American multinational mass media and entertainment conglomerate headquartered in New York City. It is currently the world's third largest entertainment company in terms of revenue, after Comcast and The Walt Disney Company."
TJX,TJX Companies Inc.,Consumer Discretionary,"The TJX Companies, Inc. is an American multinational off-price department store corporation, headquartered in Framingham, Massachusetts. It remained from the original Zayre Corp. that was established in 1956."
TMK,Torchmark Corp.,Financials,"Torchmark Corporation, founded in 1900 in Birmingham, Alabama and based in McKinney, Texas, is a financial services holding company listed on the New York Stock Exchange which operates through its wholly ..."
TSS,Total System Services,Information Technology,"Total System Services is a United States credit card processor, merchant acquirer and bank credit card issuer."
TSCO,Tractor Supply Company,Consumer Discretionary,"Tractor Supply Company is an American retail chain of stores that offers products for home improvement, agriculture, lawn and garden maintenance, and livestock, equine and pet care. It is a leading U.S. retailer in its market."
TDG,TransDigm Group,Industrials,"TransDigm Group Incorporated develops, distributes and manufactures commercial and military aerospace components such as mechanical actuators and ignition systems."
TRIP,TripAdvisor,Consumer Discretionary,"TripAdvisor, Inc. is an American travel and restaurant website company providing hotel and restaurant reviews, accommodation bookings and other travel-related content. It also includes interactive travel forums."
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,NA
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,NA
TSN,Tyson Foods,Consumer Staples,"Tyson Foods, Inc., also known by the public as Tyson Corporation, is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry."
USB,U.S. Bancorp,Financials,"U.S. Bancorp is a bank holding company based in Minneapolis, Minnesota. It is the parent company of U.S. Bank National Association, known as U.S. Bank, which is ranked 7th on the list of largest banks in the United States."
UDR,UDR Inc,Real Estate,"UDR Inc. is a publicly-traded real estate investment trust that invests in apartments. The company is organized in Maryland with its headquarters in Highlands Ranch, Colorado."
ULTA,Ulta Beauty,Consumer Discretionary,"Ulta Beauty, Inc., is a chain of beauty stores in the United States, headquartered in Bolingbrook, Illinois. Ulta Beauty carries cosmetics and skincare brands, men's and women's fragrances, and haircare products."
UAA,Under Armour Class A,Consumer Discretionary,NA
UA,Under Armour Class C,Consumer Discretionary,NA
UNP,Union Pacific,Industrials,"The Union Pacific Railroad is a freight hauling railroad that operates 8,500 locomotives over 32,100 route-miles in 23 states west of Chicago and New Orleans."
UAL,United Continental Holdings,Industrials,"United Continental Holdings, Inc. is a publicly traded airline holding company headquartered in the Willis Tower in Chicago. UCH owns and operates United Airlines, Inc."
UNH,United Health Group Inc.,Health Care,"UnitedHealth Group Inc. is an American for-profit managed health care company based in Minnetonka, Minnesota. It is 5th in the United States on the Fortune 500. UnitedHealth Group offers health care products and insurance services."
UPS,United Parcel Service,Industrials,United Parcel Service is an American multinational package delivery company and a provider of supply chain management solutions.
URI,"United Rentals, Inc.",Industrials,"United Rentals, Inc. is the largest equipment rental company in North America, with about 11.4 percent of the region's market share."
UTX,United Technologies,Industrials,"United Technologies Corporation is an American multinational conglomerate headquartered in Farmington, Connecticut."
UHS,"Universal Health Services, Inc.",Health Care,"Universal Health Services is an American Fortune 500 company based in King of Prussia, Pennsylvania. It is one of the largest hospital management companies in the United States."
UNM,Unum Group,Financials,"Unum Group is a Chattanooga, Tennessee-based Fortune 500 insurance company formerly known as UnumProvident."
VFC,V.F. Corp.,Consumer Discretionary,"VF Corporation is an American worldwide apparel and footwear company founded in 1899 and headquartered in Greensboro, North Carolina."
VLO,Valero Energy,Energy,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States."
VAR,Varian Medical Systems,Health Care,"Varian Medical Systems of Palo Alto, California, USA, is a radiation oncology treatments and software maker."
VTR,Ventas Inc,Real Estate,"Ventas, Inc., a real estate investment trust, invests primarily in real estate serving the United States healthcare industry. The company acquires, develops, leases, disposes and manages healthcare real estate."
VRSN,Verisign Inc.,Information Technology,"Verisign, Inc. is an American company based in Reston, Virginia, United States that operates a diverse array of network infrastructure, including two of the Internet's thirteen root nameservers, the ..."
VRSK,Verisk Analytics,Industrials,"Verisk Analytics, Inc. is an American data analytics and risk assessment firm based in Jersey City, New Jersey, United States, serving customers worldwide in insurance, natural resources, financial services, government, and risk management."
VZ,Verizon Communications,Telecommunication Services,"Verizon Communications Inc., or simply Verizon, is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average."
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Vertex Pharmaceuticals, Inc. is an American pharmaceutical company based in Boston, Massachusetts.Vertex was founded in 1989 by Joshua Boger and Kevin J. Kinsella."
VIAB,Viacom Inc.,Consumer Discretionary,Viacom Inc. is an American multinational media conglomerate with interests primarily in cinema and cable television.
V,Visa Inc.,Information Technology,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States."
VNO,Vornado Realty Trust,Real Estate,"Vornado Realty Trust is a real estate investment trust formed in Maryland, with its primary office in New York City. The company invests in office buildings and street retail in Manhattan."
VMC,Vulcan Materials,Materials,"Vulcan Materials Company, is an American company based in Birmingham, Alabama. It is principally engaged in the production, distribution and sale of construction materials."
WMT,Wal-Mart Stores,Consumer Staples,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores."
WBA,Walgreens Boots Alliance,Consumer Staples,"Walgreens Boots Alliance, Inc. is an American holding company headquartered in Deerfield, Illinois that owns Walgreens, Boots, and a number of pharmaceutical manufacturing, wholesale and distribution companies."
WM,Waste Management Inc.,Industrials,"Waste Management, Inc. is an American waste management, comprehensive waste, and environmental services company in North America. Founded in 1971, the company is headquartered in the First City Tower in Houston, Texas."
WAT,Waters Corporation,Health Care,"Waters Corporation is a publicly traded Analytical Laboratory instrument and software company headquartered in Milford, Massachusetts."
WEC,Wec Energy Group Inc,Utilities,"WEC Energy Group Inc., based in Milwaukee, Wisconsin, provides electricity and natural gas to 4.4 million customers across four states through its brands  We Energies, Wisconsin Public Service, Peoples ..."
WFC,Wells Fargo,Financials,"Wells Fargo & Company is an American multinational financial services company headquartered in San Francisco, California, with central offices throughout the country."
WELL,Welltower Inc.,Real Estate,"Welltower Inc. is a real estate investment trust that mostly invests in seniors housing, assisted living and memory care communities, post-acute care facilities, and medical office buildings."
WDC,Western Digital,Information Technology,"Western Digital Corporation is an American computer data storage company and one of the largest computer hard disk drive manufacturers in the world, along with its main competitor Seagate Technology."
WU,Western Union Co,Information Technology,"The Western Union Company is an American financial services and communications company. Its headquarters is in Meridian, Colorado, although the postal designation of nearby Englewood is used in its mailing address."
WRK,WestRock Company,Materials,"RockTenn was an American paper and packaging manufacturer based in Norcross, Georgia. In 2015, it merged with MeadWestvaco to form the WestRock company."
WY,Weyerhaeuser Corp.,Real Estate,"Weyerhaeuser Company, is one of the world's largest private owners of timberlands, owning or controlling nearly 12.4 million acres of timberlands in the U.S. and managing additional 14.0 million acres timberlands under long-term licenses in Canada."
WHR,Whirlpool Corp.,Consumer Discretionary,"The Whirlpool Corporation is an American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States, near Benton Harbor, Michigan."
WMB,Williams Cos.,Energy,"The Williams Companies, Inc. is an energy company based in Tulsa, Oklahoma. Its core business is natural gas processing and transportation, with additional petroleum and electricity generation assets."
WLTW,Willis Towers Watson,Financials,"Willis Towers Watson is a global multinational risk management, insurance brokerage and advisory company."
WYN,Wyndham Worldwide,Consumer Discretionary,"Wyndham Worldwide Corporation is an American hospitality company, it is the holding company for Wyndham Hotels & Resorts, RCI and other lodging brands. It was spun off from Cendant Corporation in July 2006."
WYNN,Wynn Resorts Ltd,Consumer Discretionary,"Wynn Resorts Ltd. is an American publicly traded corporation based on the Las Vegas Strip, Nevada that is a developer and operator of high end hotels and casinos."
XEL,Xcel Energy Inc,Utilities,"Xcel Energy Inc. is a utility holding company based in Minneapolis, Minnesota, serving more than 3.3 million electric customers and 1.8 million natural gas customers in Minnesota, Michigan, Wisconsin, ..."
XRX,Xerox Corp.,Information Technology,"Xerox Corporation is an American global corporation that sells print and digital document solutions, and document technology products in more than 160 countries."
XLNX,Xilinx Inc,Information Technology,"Xilinx, Inc. is an American technology company, primarily a supplier of programmable logic devices. It is known for inventing the field-programmable gate array and as the first semiconductor company with a fabless manufacturing model."
XL,XL Capital,Financials,"XL Group Ltd is a global insurance and reinsurance company headquartered in Hamilton, Bermuda with executive offices in Stamford, Connecticut, United States. The company has more than 100 offices on 6 continents."
XYL,Xylem Inc.,Industrials,"Xylem Inc. is a large American water technology provider, enabling customers worldwide to transport, treat, test and efficiently use water in public utility, residential, commercial, agricultural and industrial settings."
YUM,Yum! Brands Inc,Consumer Discretionary,"Yum! Brands, Inc., or Yum! and formerly Tricon Global Restaurants, Inc., is an American fast food company."
ZBH,Zimmer Biomet Holdings,Health Care,"Zimmer Biomet is a publicly traded medical device company. It was founded in 1927 to produce aluminum splints. The firm is headquartered in Warsaw, Indiana, where it is part of the medical devices business cluster."
ZION,Zions Bancorp,Financials,"Zions Bancorporation is a bank holding company, headquartered in Salt Lake City, Utah, that is one of the largest banks in the United States."
ZTS,Zoetis,Health Care,"Zoetis, Inc. is the world's largest producer of medicine and vaccinations for pets and livestock. The company was a subsidiary of Pfizer, the world's largest drug maker, but with Pfizer's spinoff of ..."
